defect_id,unit_id,batch_id,checkpoint_id,defect_type,severity,root_cause,reported_date
DEF-00021,UNIT-09809,BATCH-2025-00681,5,Color calibration issue,Medium,Equipment calibration drift,2025-10-29
DEF-00022,UNIT-16961,BATCH-2026-01187,5,Screen artifact,Medium,Packaging error,2026-06-21
DEF-00023,UNIT-10477,BATCH-2025-00730,2,Camera focus failed,High,Process variation,2025-12-19
DEF-00024,UNIT-25625,BATCH-2026-01790,7,Thermal runaway risk,Low,Supplier quality issue,2026-07-03
DEF-00025,UNIT-42225,BATCH-2025-02958,7,Overheating,Medium,Environmental exposure,2025-06-16
DEF-00026,UNIT-06546,BATCH-2026-00452,7,Thermal runaway risk,Medium,Process variation,2026-06-09
DEF-00027,UNIT-20480,BATCH-2025-01431,7,Overheating,Medium,Equipment calibration drift,2025-09-14
DEF-00028,UNIT-23333,BATCH-2026-01634,4,Cell imbalance,Medium,Material defect,2026-02-24
DEF-00029,UNIT-25682,BATCH-2025-01795,4,Charging instability,Medium,Packaging error,2025-02-23
DEF-00030,UNIT-08516,BATCH-2025-00590,7,Fan failure,High,Investigation pending,2025-12-20
DEF-00031,UNIT-26908,BATCH-2025-01881,6,Port instability,Medium,Process variation,2025-07-07
DEF-00032,UNIT-03324,BATCH-2025-00229,3,Audio clipping,Low,Supplier quality issue,2025-04-03
DEF-00033,UNIT-11060,BATCH-2025-00770,5,Dead pixel,High,Equipment calibration drift,2025-11-29
DEF-00034,UNIT-09341,BATCH-2025-00647,2,Lens scratch,Low,Supplier quality issue,2025-06-25
DEF-00035,UNIT-46419,BATCH-2026-03252,4,Battery not detected,Critical,Process variation,2026-08-27
DEF-00036,UNIT-45755,BATCH-2025-03206,2,Lens scratch,Medium,Investigation pending,2025-08-03
DEF-00037,UNIT-24655,BATCH-2026-01724,7,Fan failure,High,Supplier quality issue,2026-06-18
DEF-00038,UNIT-04017,BATCH-2025-00277,2,Camera focus failed,Medium,Equipment calibration drift,2025-09-26
DEF-00039,UNIT-19220,BATCH-2026-01344,5,Dead pixel,High,Investigation pending,2026-05-09
DEF-00040,UNIT-48595,BATCH-2025-03399,7,Fan failure,Medium,Handling damage,2025-07-07
DEF-00041,UNIT-16509,BATCH-2024-01156,7,Thermal runaway risk,Low,Investigation pending,2024-10-23
DEF-00042,UNIT-16028,BATCH-2025-01121,7,Fan failure,Low,Handling damage,2025-08-23
DEF-00043,UNIT-10925,BATCH-2025-00762,5,Screen artifact,Critical,Supplier quality issue,2025-10-22
DEF-00044,UNIT-27181,BATCH-2025-01901,4,Cell imbalance,Low,Process variation,2025-05-23
DEF-00045,UNIT-48059,BATCH-2025-03364,3,Low volume output,Low,Supplier quality issue,2025-12-04
DEF-00046,UNIT-24596,BATCH-2025-01721,7,Thermal runaway risk,Critical,Packaging error,2025-08-02
DEF-00047,UNIT-18062,BATCH-2025-01262,5,Screen artifact,Medium,Investigation pending,2025-08-12
DEF-00048,UNIT-05687,BATCH-2026-00392,1,Power fluctuation,Medium,Environmental exposure,2026-08-06
DEF-00049,UNIT-21442,BATCH-2025-01500,5,Dead pixel,Medium,Equipment calibration drift,2025-01-22
DEF-00050,UNIT-09841,BATCH-2026-00683,6,Signal interference,Medium,Process variation,2026-08-26
DEF-00051,UNIT-28509,BATCH-2026-01993,7,Thermal runaway risk,Medium,Packaging error,2026-07-27
DEF-00052,UNIT-21809,BATCH-2026-01525,5,Color calibration issue,High,Handling damage,2026-05-16
DEF-00053,UNIT-35637,BATCH-2025-02490,7,Fan failure,High,Process variation,2025-07-12
DEF-00054,UNIT-26625,BATCH-2026-01860,5,Dead pixel,Low,Handling damage,2026-08-30
DEF-00055,UNIT-05753,BATCH-2025-00397,2,Lens scratch,High,Environmental exposure,2026-01-01
DEF-00056,UNIT-24853,BATCH-2026-01738,3,Low volume output,Low,Environmental exposure,2026-01-29
DEF-00057,UNIT-37123,BATCH-2025-02594,8,Final assembly defect,High,Process variation,2026-01-20
DEF-00058,UNIT-15246,BATCH-2025-01068,7,Fan failure,Medium,Process variation,2025-08-23
DEF-00059,UNIT-14657,BATCH-2025-01025,1,Power fluctuation,Medium,Supplier quality issue,2025-12-02
DEF-00060,UNIT-23706,BATCH-2025-01660,1,Power fluctuation,Low,Handling damage,2026-01-08
DEF-00061,UNIT-03057,BATCH-2026-00211,5,Dead pixel,Medium,Process variation,2026-07-20
DEF-00062,UNIT-25627,BATCH-2025-01791,5,Screen artifact,Medium,Handling damage,2025-10-15
DEF-00063,UNIT-16640,BATCH-2024-01165,4,Charging instability,Medium,Material defect,2024-12-21
DEF-00064,UNIT-25253,BATCH-2024-01766,2,Lens scratch,Medium,Supplier quality issue,2024-11-23
DEF-00065,UNIT-48879,BATCH-2026-03419,1,Connector misalignment,Low,Equipment calibration drift,2026-06-13
DEF-00066,UNIT-24216,BATCH-2025-01695,4,Charging instability,High,Packaging error,2025-08-01
DEF-00067,UNIT-46463,BATCH-2025-03256,2,Sensor calibration drift,Low,Handling damage,2025-01-28
DEF-00068,UNIT-14685,BATCH-2026-01027,6,Connectivity drop,Critical,Handling damage,2026-03-24
DEF-00069,UNIT-48222,BATCH-2026-03375,6,Connectivity drop,Low,Environmental exposure,2026-08-26
DEF-00070,UNIT-09381,BATCH-2025-00650,3,Speaker distortion,Critical,Packaging error,2025-05-09
DEF-00071,UNIT-07730,BATCH-2025-00536,1,Short circuit,Medium,Supplier quality issue,2025-12-13
DEF-00072,UNIT-23642,BATCH-2025-01655,3,Low volume output,Low,Supplier quality issue,2025-05-08
DEF-00073,UNIT-31581,BATCH-2025-02211,4,Battery not detected,Medium,Material defect,2025-04-19
DEF-00074,UNIT-31069,BATCH-2026-02174,2,Lens scratch,Low,Process variation,2026-05-05
DEF-00075,UNIT-11206,BATCH-2025-00781,4,Battery not detected,Medium,Packaging error,2025-12-19
DEF-00076,UNIT-08415,BATCH-2026-00584,2,Sensor calibration drift,High,Investigation pending,2026-05-16
DEF-00077,UNIT-46921,BATCH-2026-03285,5,Screen artifact,Medium,Equipment calibration drift,2026-02-05
DEF-00078,UNIT-39178,BATCH-2025-02743,7,Fan failure,High,Equipment calibration drift,2025-08-29
DEF-00079,UNIT-45455,BATCH-2024-03185,8,Packaging damage,High,Packaging error,2024-10-10
DEF-00080,UNIT-37240,BATCH-2026-02603,8,Ingress issue,Medium,Investigation pending,2026-03-03
DEF-00081,UNIT-23596,BATCH-2025-01652,1,Connector misalignment,Low,Handling damage,2025-11-11
DEF-00082,UNIT-16501,BATCH-2025-01155,5,Screen artifact,Critical,Material defect,2025-04-29
DEF-00083,UNIT-10335,BATCH-2025-00721,6,Signal interference,Low,Environmental exposure,2025-08-08
DEF-00084,UNIT-42240,BATCH-2025-02960,4,Cell imbalance,Low,Equipment calibration drift,2025-05-27
DEF-00085,UNIT-14551,BATCH-2025-01018,2,Sensor calibration drift,Low,Process variation,2025-05-05
DEF-00086,UNIT-25272,BATCH-2025-01767,3,Speaker distortion,Medium,Environmental exposure,2025-12-28
DEF-00087,UNIT-46747,BATCH-2024-03274,4,Cell imbalance,Medium,Supplier quality issue,2024-10-29
DEF-00088,UNIT-07844,BATCH-2025-00544,1,Connector misalignment,Medium,Environmental exposure,2025-08-28
DEF-00089,UNIT-23354,BATCH-2025-01635,6,Port instability,High,Process variation,2025-04-09
DEF-00090,UNIT-19245,BATCH-2026-01346,5,Screen artifact,Critical,Investigation pending,2026-07-07
DEF-00091,UNIT-44323,BATCH-2025-03105,3,Speaker distortion,Low,Equipment calibration drift,2025-08-29
DEF-00092,UNIT-47249,BATCH-2026-03308,3,Audio clipping,High,Equipment calibration drift,2026-03-22
DEF-00093,UNIT-26190,BATCH-2025-01830,5,Dead pixel,High,Environmental exposure,2025-02-02
DEF-00094,UNIT-08077,BATCH-2026-00560,7,Thermal runaway risk,Low,Equipment calibration drift,2026-03-20
DEF-00095,UNIT-32575,BATCH-2026-02276,4,Cell imbalance,High,Environmental exposure,2026-08-05
DEF-00096,UNIT-20430,BATCH-2025-01428,4,Cell imbalance,Medium,Packaging error,2025-04-09
DEF-00097,UNIT-02345,BATCH-2025-00163,1,Power fluctuation,High,Material defect,2025-07-18
DEF-00098,UNIT-39928,BATCH-2026-02794,2,Camera focus failed,Critical,Handling damage,2026-03-20
DEF-00099,UNIT-00825,BATCH-2025-00059,1,Power fluctuation,Critical,Environmental exposure,2025-09-12
DEF-00100,UNIT-34001,BATCH-2024-02376,2,Camera focus failed,High,Environmental exposure,2024-10-24
DEF-00101,UNIT-01336,BATCH-2025-00094,8,Final assembly defect,Medium,Supplier quality issue,2025-03-24
DEF-00102,UNIT-22433,BATCH-2025-01570,2,Sensor calibration drift,High,Process variation,2025-02-01
DEF-00103,UNIT-15840,BATCH-2025-01108,5,Screen artifact,Medium,Material defect,2025-03-18
DEF-00104,UNIT-21178,BATCH-2025-01481,1,Short circuit,High,Environmental exposure,2025-04-23
DEF-00105,UNIT-28289,BATCH-2024-01978,7,Thermal runaway risk,Medium,Environmental exposure,2025-01-10
DEF-00106,UNIT-39149,BATCH-2026-02741,3,Audio clipping,Medium,Process variation,2026-06-11
DEF-00107,UNIT-07172,BATCH-2025-00497,8,Packaging damage,Medium,Supplier quality issue,2026-01-12
DEF-00108,UNIT-47570,BATCH-2025-03331,8,Final assembly defect,Low,Process variation,2025-11-29
DEF-00109,UNIT-42463,BATCH-2025-02977,6,Signal interference,Critical,Material defect,2025-09-09
DEF-00110,UNIT-30386,BATCH-2025-02127,5,Screen artifact,Medium,Packaging error,2025-01-20
DEF-00111,UNIT-16202,BATCH-2026-01132,1,Short circuit,High,Packaging error,2026-08-12
DEF-00112,UNIT-26975,BATCH-2025-01886,5,Dead pixel,Low,Material defect,2025-07-20
DEF-00113,UNIT-23752,BATCH-2025-01663,3,Low volume output,Low,Investigation pending,2025-08-30
DEF-00114,UNIT-02644,BATCH-2024-00182,3,Speaker distortion,High,Investigation pending,2024-12-23
DEF-00115,UNIT-05582,BATCH-2026-00384,7,Fan failure,Medium,Handling damage,2026-01-27
DEF-00116,UNIT-14407,BATCH-2024-01008,8,Final assembly defect,Low,Supplier quality issue,2025-01-03
DEF-00117,UNIT-25262,BATCH-2024-01766,6,Port instability,High,Investigation pending,2024-11-26
DEF-00118,UNIT-18924,BATCH-2025-01323,6,Connectivity drop,Low,Environmental exposure,2025-11-04
DEF-00119,UNIT-08206,BATCH-2025-00568,1,Power fluctuation,Medium,Investigation pending,2025-11-07
DEF-00120,UNIT-13402,BATCH-2026-00938,3,Speaker distortion,Low,Handling damage,2026-07-02
DEF-00121,UNIT-05398,BATCH-2026-00371,1,Short circuit,Medium,Investigation pending,2026-08-30
DEF-00122,UNIT-49941,BATCH-2026-03492,7,Thermal runaway risk,Low,Investigation pending,2026-01-18
DEF-00123,UNIT-41884,BATCH-2025-02934,4,Battery not detected,Critical,Investigation pending,2025-02-17
DEF-00124,UNIT-07611,BATCH-2025-00528,6,Signal interference,Low,Packaging error,2025-02-26
DEF-00125,UNIT-49742,BATCH-2025-03477,6,Signal interference,High,Packaging error,2025-01-29
DEF-00126,UNIT-30379,BATCH-2026-02126,2,Camera focus failed,Critical,Material defect,2026-07-30
DEF-00127,UNIT-16819,BATCH-2025-01177,6,Connectivity drop,High,Supplier quality issue,2025-10-30
DEF-00128,UNIT-35568,BATCH-2025-02486,3,Speaker distortion,Medium,Equipment calibration drift,2025-04-06
DEF-00129,UNIT-13756,BATCH-2025-00964,5,Dead pixel,Critical,Equipment calibration drift,2025-03-18
DEF-00130,UNIT-30314,BATCH-2024-02122,7,Thermal runaway risk,Low,Packaging error,2025-01-17
DEF-00131,UNIT-12818,BATCH-2025-00897,4,Charging instability,Medium,Handling damage,2025-11-13
DEF-00132,UNIT-45814,BATCH-2025-03211,5,Color calibration issue,Low,Investigation pending,2025-10-07
DEF-00133,UNIT-00732,BATCH-2025-00051,4,Charging instability,Low,Process variation,2025-10-10
DEF-00134,UNIT-46959,BATCH-2026-03288,6,Port instability,High,Material defect,2026-08-15
DEF-00135,UNIT-26510,BATCH-2025-01852,3,Speaker distortion,Medium,Material defect,2025-12-10
DEF-00136,UNIT-18026,BATCH-2026-01259,8,Ingress issue,Low,Supplier quality issue,2026-03-23
DEF-00137,UNIT-27597,BATCH-2025-01930,2,Camera focus failed,Critical,Equipment calibration drift,2025-03-14
DEF-00138,UNIT-05737,BATCH-2026-00396,7,Thermal runaway risk,Low,Supplier quality issue,2026-07-22
DEF-00139,UNIT-49754,BATCH-2026-03478,2,Sensor calibration drift,High,Material defect,2026-06-06
DEF-00140,UNIT-11889,BATCH-2025-00830,5,Color calibration issue,Medium,Material defect,2025-04-01
DEF-00141,UNIT-40705,BATCH-2024-02851,6,Signal interference,High,Equipment calibration drift,2024-10-04
DEF-00142,UNIT-45326,BATCH-2025-03176,2,Lens scratch,Medium,Investigation pending,2025-06-27
DEF-00143,UNIT-21470,BATCH-2024-01502,5,Screen artifact,High,Equipment calibration drift,2024-11-19
DEF-00144,UNIT-49707,BATCH-2025-03474,2,Lens scratch,High,Material defect,2025-04-12
DEF-00145,UNIT-23843,BATCH-2025-01669,7,Fan failure,Critical,Environmental exposure,2025-11-01
DEF-00146,UNIT-19429,BATCH-2025-01358,5,Screen artifact,Low,Investigation pending,2025-05-25
DEF-00147,UNIT-26514,BATCH-2025-01853,4,Cell imbalance,Medium,Material defect,2025-08-19
DEF-00148,UNIT-32754,BATCH-2025-02288,2,Lens scratch,Medium,Process variation,2025-03-22
DEF-00149,UNIT-33814,BATCH-2025-02363,4,Battery not detected,High,Supplier quality issue,2025-05-27
DEF-00150,UNIT-01438,BATCH-2024-00101,8,Final assembly defect,Low,Packaging error,2024-12-17
DEF-00151,UNIT-25031,BATCH-2024-01751,2,Lens scratch,High,Environmental exposure,2025-01-14
DEF-00152,UNIT-07556,BATCH-2025-00524,4,Cell imbalance,Medium,Process variation,2025-01-31
DEF-00153,UNIT-01252,BATCH-2026-00088,5,Dead pixel,Medium,Process variation,2026-05-02
DEF-00154,UNIT-19031,BATCH-2025-01330,1,Connector misalignment,High,Packaging error,2025-11-07
DEF-00155,UNIT-32824,BATCH-2026-02294,2,Lens scratch,High,Material defect,2026-09-21
DEF-00156,UNIT-09526,BATCH-2024-00661,6,Signal interference,High,Environmental exposure,2024-12-12
DEF-00157,UNIT-01029,BATCH-2025-00072,1,Power fluctuation,Medium,Process variation,2025-01-25
DEF-00158,UNIT-18055,BATCH-2025-01261,4,Battery not detected,Medium,Supplier quality issue,2025-09-24
DEF-00159,UNIT-43472,BATCH-2026-03046,3,Low volume output,High,Handling damage,2026-08-11
DEF-00160,UNIT-44840,BATCH-2026-03141,7,Overheating,Low,Handling damage,2026-08-18
DEF-00161,UNIT-10967,BATCH-2025-00764,2,Camera focus failed,High,Environmental exposure,2025-03-26
DEF-00162,UNIT-01583,BATCH-2025-00111,7,Fan failure,Medium,Equipment calibration drift,2025-11-26
DEF-00163,UNIT-38489,BATCH-2024-02693,6,Port instability,High,Process variation,2025-01-01
DEF-00164,UNIT-03736,BATCH-2025-00257,6,Connectivity drop,Medium,Material defect,2025-05-24
DEF-00165,UNIT-47000,BATCH-2025-03291,2,Lens scratch,High,Process variation,2025-02-23
DEF-00166,UNIT-17688,BATCH-2024-01237,7,Fan failure,Low,Investigation pending,2024-10-12
DEF-00167,UNIT-25898,BATCH-2025-01811,3,Audio clipping,Low,Equipment calibration drift,2025-11-23
DEF-00168,UNIT-10372,BATCH-2025-00723,2,Lens scratch,Low,Supplier quality issue,2025-11-27
DEF-00169,UNIT-05713,BATCH-2024-00394,2,Camera focus failed,Medium,Process variation,2024-10-16
DEF-00170,UNIT-36153,BATCH-2026-02528,7,Fan failure,High,Handling damage,2026-03-23
DEF-00171,UNIT-07424,BATCH-2024-00515,4,Battery not detected,High,Equipment calibration drift,2024-10-16
DEF-00172,UNIT-33711,BATCH-2025-02356,7,Fan failure,Low,Packaging error,2025-07-30
DEF-00173,UNIT-24763,BATCH-2026-01733,2,Sensor calibration drift,Low,Handling damage,2026-05-03
DEF-00174,UNIT-25826,BATCH-2025-01805,4,Battery not detected,Medium,Handling damage,2025-09-29
DEF-00175,UNIT-14125,BATCH-2025-00988,7,Thermal runaway risk,Low,Packaging error,2025-02-22
DEF-00176,UNIT-19001,BATCH-2024-01328,6,Signal interference,Critical,Material defect,2024-10-20
DEF-00177,UNIT-27260,BATCH-2026-01906,5,Dead pixel,Critical,Packaging error,2026-06-28
DEF-00178,UNIT-24954,BATCH-2024-01746,1,Short circuit,High,Equipment calibration drift,2025-01-15
DEF-00179,UNIT-18692,BATCH-2025-01307,4,Cell imbalance,Medium,Process variation,2025-10-29
DEF-00180,UNIT-29284,BATCH-2025-02050,7,Overheating,Low,Investigation pending,2025-12-03
DEF-00181,UNIT-47171,BATCH-2024-03302,3,Audio clipping,Medium,Equipment calibration drift,2024-12-19
DEF-00182,UNIT-07223,BATCH-2025-00500,4,Battery not detected,Critical,Environmental exposure,2025-06-11
DEF-00183,UNIT-21108,BATCH-2025-01476,7,Thermal runaway risk,Low,Investigation pending,2026-01-06
DEF-00184,UNIT-39901,BATCH-2026-02793,5,Dead pixel,Medium,Process variation,2026-06-27
DEF-00185,UNIT-22645,BATCH-2025-01586,7,Thermal runaway risk,Medium,Packaging error,2025-07-14
DEF-00186,UNIT-00978,BATCH-2024-00069,4,Cell imbalance,High,Process variation,2025-01-20
DEF-00187,UNIT-36330,BATCH-2026-02540,5,Dead pixel,Medium,Packaging error,2026-03-04
DEF-00188,UNIT-10211,BATCH-2025-00711,5,Screen artifact,High,Supplier quality issue,2025-08-07
DEF-00189,UNIT-27360,BATCH-2025-01914,2,Sensor calibration drift,High,Material defect,2025-03-30
DEF-00190,UNIT-03687,BATCH-2026-00254,8,Ingress issue,Critical,Material defect,2026-04-01
DEF-00191,UNIT-41618,BATCH-2026-02915,2,Camera focus failed,Low,Equipment calibration drift,2026-05-05
DEF-00192,UNIT-37459,BATCH-2025-02618,2,Camera focus failed,High,Packaging error,2025-03-21
DEF-00193,UNIT-24149,BATCH-2026-01690,4,Charging instability,Medium,Investigation pending,2026-05-30
DEF-00194,UNIT-34639,BATCH-2025-02422,2,Camera focus failed,Medium,Environmental exposure,2025-04-10
DEF-00195,UNIT-46923,BATCH-2025-03286,3,Speaker distortion,Low,Material defect,2025-08-01
DEF-00196,UNIT-07042,BATCH-2026-00487,2,Lens scratch,Medium,Supplier quality issue,2026-04-03
DEF-00197,UNIT-01915,BATCH-2025-00133,6,Connectivity drop,Low,Investigation pending,2025-07-04
DEF-00198,UNIT-46120,BATCH-2025-03232,4,Battery not detected,High,Environmental exposure,2025-07-06
DEF-00199,UNIT-03297,BATCH-2025-00227,6,Connectivity drop,Low,Packaging error,2025-04-04
DEF-00200,UNIT-14903,BATCH-2025-01044,3,Speaker distortion,Low,Environmental exposure,2025-05-09
DEF-00201,UNIT-13199,BATCH-2026-00924,5,Color calibration issue,Medium,Material defect,2026-06-07
DEF-00202,UNIT-21184,BATCH-2025-01481,5,Color calibration issue,High,Handling damage,2025-04-27
DEF-00203,UNIT-25804,BATCH-2025-01803,8,Packaging damage,Critical,Environmental exposure,2025-01-18
DEF-00204,UNIT-35403,BATCH-2026-02475,4,Cell imbalance,Medium,Process variation,2026-09-08
DEF-00205,UNIT-11351,BATCH-2025-00792,2,Lens scratch,Medium,Equipment calibration drift,2025-09-13
DEF-00206,UNIT-26472,BATCH-2025-01850,7,Overheating,High,Process variation,2025-01-29
DEF-00207,UNIT-27534,BATCH-2024-01925,2,Lens scratch,Low,Equipment calibration drift,2024-10-31
DEF-00208,UNIT-15944,BATCH-2026-01115,8,Final assembly defect,Low,Investigation pending,2026-03-23
DEF-00209,UNIT-07292,BATCH-2026-00505,2,Lens scratch,Medium,Equipment calibration drift,2026-05-21
DEF-00210,UNIT-27792,BATCH-2025-01944,2,Lens scratch,Medium,Process variation,2025-05-09
DEF-00211,UNIT-18639,BATCH-2026-01303,3,Low volume output,Medium,Process variation,2026-04-10
DEF-00212,UNIT-25994,BATCH-2024-01817,8,Ingress issue,Low,Investigation pending,2024-10-17
DEF-00213,UNIT-38192,BATCH-2025-02671,8,Packaging damage,High,Packaging error,2026-01-09
DEF-00214,UNIT-46261,BATCH-2025-03241,8,Final assembly defect,High,Packaging error,2025-04-24
DEF-00215,UNIT-11843,BATCH-2025-00827,8,Packaging damage,Medium,Equipment calibration drift,2025-12-09
DEF-00216,UNIT-37558,BATCH-2024-02625,2,Camera focus failed,Critical,Handling damage,2024-11-19
DEF-00217,UNIT-04425,BATCH-2026-00305,1,Connector misalignment,Low,Equipment calibration drift,2026-04-08
DEF-00218,UNIT-13465,BATCH-2026-00942,8,Ingress issue,Critical,Handling damage,2026-03-13
DEF-00219,UNIT-48263,BATCH-2025-03378,8,Final assembly defect,Low,Handling damage,2025-07-07
DEF-00220,UNIT-29078,BATCH-2025-02034,3,Audio clipping,High,Investigation pending,2025-06-14
DEF-00221,UNIT-32224,BATCH-2025-02252,5,Screen artifact,Low,Material defect,2025-06-16
DEF-00222,UNIT-29445,BATCH-2025-02061,4,Battery not detected,High,Handling damage,2025-11-26
DEF-00223,UNIT-41006,BATCH-2025-02872,7,Fan failure,High,Supplier quality issue,2025-02-17
DEF-00224,UNIT-14503,BATCH-2024-01015,7,Overheating,High,Process variation,2025-01-18
DEF-00225,UNIT-08288,BATCH-2026-00574,8,Ingress issue,Low,Investigation pending,2026-04-09
DEF-00226,UNIT-14926,BATCH-2026-01045,5,Screen artifact,High,Supplier quality issue,2026-02-21
DEF-00227,UNIT-43437,BATCH-2025-03044,5,Dead pixel,Low,Environmental exposure,2025-02-05
DEF-00228,UNIT-09220,BATCH-2026-00638,5,Dead pixel,Low,Material defect,2026-08-21
DEF-00229,UNIT-12054,BATCH-2025-00842,8,Ingress issue,Medium,Investigation pending,2025-10-04
DEF-00230,UNIT-19949,BATCH-2026-01395,7,Fan failure,Medium,Material defect,2026-02-02
DEF-00231,UNIT-27249,BATCH-2026-01905,3,Audio clipping,Low,Packaging error,2026-04-23
DEF-00232,UNIT-37257,BATCH-2025-02604,2,Lens scratch,High,Handling damage,2025-03-09
DEF-00233,UNIT-13336,BATCH-2026-00933,6,Port instability,High,Investigation pending,2026-08-04
DEF-00234,UNIT-01384,BATCH-2024-00098,4,Battery not detected,Medium,Investigation pending,2024-10-16
DEF-00235,UNIT-08753,BATCH-2026-00607,3,Low volume output,Medium,Environmental exposure,2026-03-29
DEF-00236,UNIT-07274,BATCH-2025-00504,1,Power fluctuation,High,Investigation pending,2025-04-08
DEF-00237,UNIT-17972,BATCH-2026-01255,8,Final assembly defect,Critical,Environmental exposure,2026-07-15
DEF-00238,UNIT-32168,BATCH-2026-02249,8,Ingress issue,Medium,Supplier quality issue,2026-03-02
DEF-00239,UNIT-01169,BATCH-2024-00082,7,Overheating,High,Process variation,2024-10-12
DEF-00240,UNIT-08359,BATCH-2025-00580,4,Battery not detected,Low,Handling damage,2025-09-28
DEF-00241,UNIT-27806,BATCH-2026-01945,6,Connectivity drop,Low,Supplier quality issue,2026-03-19
DEF-00242,UNIT-36578,BATCH-2025-02556,8,Packaging damage,Medium,Investigation pending,2025-03-03
DEF-00243,UNIT-34297,BATCH-2025-02397,1,Connector misalignment,Medium,Process variation,2025-04-04
DEF-00244,UNIT-12449,BATCH-2024-00869,2,Lens scratch,Critical,Equipment calibration drift,2024-12-30
DEF-00245,UNIT-49979,BATCH-2026-03495,6,Signal interference,Medium,Process variation,2026-02-06
DEF-00246,UNIT-02073,BATCH-2026-00144,7,Overheating,Medium,Handling damage,2026-05-16
DEF-00247,UNIT-46217,BATCH-2026-03238,2,Sensor calibration drift,Medium,Packaging error,2026-05-10
DEF-00248,UNIT-11585,BATCH-2025-00808,1,Power fluctuation,Low,Equipment calibration drift,2025-02-05
DEF-00249,UNIT-22376,BATCH-2025-01566,8,Ingress issue,Low,Supplier quality issue,2025-05-13
DEF-00250,UNIT-29784,BATCH-2025-02085,4,Charging instability,High,Packaging error,2025-06-17
DEF-00251,UNIT-22499,BATCH-2024-01574,2,Lens scratch,Medium,Investigation pending,2024-12-30
DEF-00252,UNIT-12680,BATCH-2025-00887,8,Ingress issue,Medium,Supplier quality issue,2025-06-24
DEF-00253,UNIT-08141,BATCH-2025-00565,8,Ingress issue,High,Supplier quality issue,2025-06-11
DEF-00254,UNIT-33208,BATCH-2026-02322,4,Battery not detected,Medium,Supplier quality issue,2026-01-31
DEF-00255,UNIT-29604,BATCH-2024-02072,1,Short circuit,Critical,Handling damage,2025-01-08
DEF-00256,UNIT-09207,BATCH-2026-00638,6,Signal interference,Low,Investigation pending,2026-08-26
DEF-00257,UNIT-18738,BATCH-2025-01310,4,Cell imbalance,Low,Environmental exposure,2025-09-18
DEF-00258,UNIT-45526,BATCH-2025-03190,1,Power fluctuation,Low,Handling damage,2025-11-14
DEF-00259,UNIT-48138,BATCH-2025-03369,6,Signal interference,Medium,Handling damage,2025-05-18
DEF-00260,UNIT-33699,BATCH-2026-02355,8,Ingress issue,High,Investigation pending,2026-02-02
DEF-00261,UNIT-07589,BATCH-2026-00527,6,Connectivity drop,Low,Material defect,2026-04-19
DEF-00262,UNIT-07390,BATCH-2026-00512,5,Dead pixel,High,Supplier quality issue,2026-08-08
DEF-00263,UNIT-11487,BATCH-2025-00801,8,Final assembly defect,Critical,Environmental exposure,2025-01-27
DEF-00264,UNIT-11611,BATCH-2025-00810,5,Color calibration issue,Medium,Supplier quality issue,2025-11-08
DEF-00265,UNIT-07314,BATCH-2025-00507,3,Low volume output,Low,Equipment calibration drift,2025-08-01
